idx  name            defA   tmpl
  0  FontWait             0      1
  1  Voice                1      0
  2  PlaceName            0      1
  3  Cursor               1      2
  4  Wall                 2      1
  5  MoveWindow           1      1
  6  MessageWindow        1      1
  7  Fadeout              1      1
  8  UseSE                1      1
  9  VoiceBar             1      1
 10  MouseSE              1      1
 11  Alpha                1      0
 12  SystemVoice          0      1
 13  WindowPos            1      1
 14  CursorAnime          1      1
 15  CursorMove           1      2
 16  CursorColor          2      1
 17  UseMusic             1      1
 18  TextGradation        1      1
 19  TextColor            1      1
 20  MesWinTone           1      0
 21  WindowMode           0  2147483647
 22  VoiceChr         2147483647      0
 23  DramaticMode         0      1
 24  RapeGuard            1      0
 25  FullScreen           0     10
 26  AutoMsgSpeed        10      1
 27  TextskipCheck        1     10
 28  TextskipSpeed       10      0
 29  HBoot                0      0
 30  TextAA               0    100
 31  TotalVolume        100     50
 32  MusicVolume         50    100
 33  VoiceVolume        100    100
 34  SEVolume           100      0
 35  AutomodeMeswin       0      0
 36  MoviePlayer          0      1
 37  Shake                1      0
